unique_id,metric,winning_model
hotel_0,bias,AutoETS
hotel_0,mae,LightGBM
hotel_0,rmse,LightGBM
hotel_0,mape,LightGBM
hotel_105,bias,SeasonalNaive
hotel_105,mae,LightGBM
hotel_105,rmse,LightGBM
hotel_105,mape,AutoETS
hotel_112,bias,AutoARIMA
hotel_112,mae,AutoARIMA
hotel_112,rmse,AutoARIMA
hotel_112,mape,AutoARIMA
hotel_126,bias,AutoETS
hotel_126,mae,AutoARIMA
hotel_126,rmse,AutoARIMA
hotel_126,mape,AutoARIMA
hotel_133,bias,AutoETS
hotel_133,mae,AutoARIMA
hotel_133,rmse,AutoARIMA
hotel_133,mape,AutoETS
hotel_14,bias,AutoARIMA
hotel_14,mae,LightGBM
hotel_14,rmse,LightGBM
hotel_14,mape,LightGBM
hotel_21,bias,AutoARIMA
hotel_21,mae,Naive
hotel_21,rmse,SeasonalNaive
hotel_21,mape,Naive
hotel_35,bias,SeasonalNaive
hotel_35,mae,LightGBM
hotel_35,rmse,LightGBM
hotel_35,mape,LightGBM
hotel_42,bias,AutoETS
hotel_42,mae,AutoARIMA
hotel_42,rmse,AutoARIMA
hotel_42,mape,Naive
hotel_49,bias,LightGBM
hotel_49,mae,LightGBM
hotel_49,rmse,LightGBM
hotel_49,mape,LightGBM
hotel_56,bias,Naive
hotel_56,mae,SeasonalNaive
hotel_56,rmse,LightGBM
hotel_56,mape,SeasonalNaive
hotel_63,bias,SeasonalNaive
hotel_63,mae,LightGBM
hotel_63,rmse,LightGBM
hotel_63,mape,AutoETS
hotel_7,bias,AutoETS
hotel_7,mae,Naive
hotel_7,rmse,Naive
hotel_7,mape,SeasonalNaive
hotel_70,bias,SeasonalNaive
hotel_70,mae,AutoARIMA
hotel_70,rmse,AutoARIMA
hotel_70,mape,AutoARIMA
hotel_84,bias,AutoARIMA
hotel_84,mae,LightGBM
hotel_84,rmse,AutoETS
hotel_84,mape,SeasonalNaive
hotel_91,bias,Naive
hotel_91,mae,LightGBM
hotel_91,rmse,LightGBM
hotel_91,mape,AutoETS
hotel_98,bias,AutoETS
hotel_98,mae,LightGBM
hotel_98,rmse,LightGBM
hotel_98,mape,LightGBM
